date,nyse_advances,nyse_declines,nyse_unchanged,nyse_new_highs,nyse_new_lows,nasdaq_advances,nasdaq_declines,nasdaq_new_highs,nasdaq_new_lows,nyse_ad_line,nyse_down_vol,nyse_trin,nyse_highs_alt
2005-06-27,,,,13.8443,11.4072,,,,,29.1891,,,
2005-06-28,,,,13.9374,11.9376,,,,,29.249,,,
2005-06-29,,,,13.9646,12.1193,,,,,29.5782,,,
2005-06-30,,,,13.8511,11.8048,,,,,29.8711,,,
2005-07-01,,,,14.0451,11.6974,,,,,30.565,,,
2005-07-05,,,,14.1828,12.1976,,,,,29.9666,,,
2005-07-06,,,,14.1712,12.2343,,,,,29.8292,,,
2005-07-07,,,,14.3186,11.9376,,,,,29.8411,,,
2005-07-08,,,,14.5659,12.2118,,,,,30.2121,,,
2005-07-11,,,,14.7958,12.388,,,,,30.6249,,,
2005-07-12,,,,14.7861,12.9879,,,,,30.3558,,,
2005-07-13,,,,14.5941,12.7015,,,,,30.6549,,,
2005-07-14,,,,14.2905,12.8578,,,,,30.7142,,,
2005-07-15,,,,14.2749,12.8324,,,,,30.4869,,,
2005-07-18,,,,14.1984,12.6959,,,,,30.3558,,,
2005-07-19,,,,14.369,12.8578,,,,,30.0566,,,
2005-07-20,,,,14.7803,12.8804,,,,,30.565,,,
2005-07-21,,,,14.5193,12.6035,,,,,30.3913,,,
2005-07-22,,,,14.7803,13.4156,,,,,30.535,,,
2005-07-25,,,,14.7377,12.9879,,,,,30.6549,,,
2005-07-26,,,,14.8055,13.0029,,,,,30.6905,,,
2005-07-27,,,,14.9103,12.8494,,,,,30.6605,,,
2005-07-28,,,,15.1771,13.6934,,,,,30.7742,,,
2005-07-29,,,,15.1857,13.424,,,,,31.1933,,,
2005-08-01,,,,15.081,13.279,,,,,32.0001,,,
2005-08-02,,,,15.2469,13.0398,,,,,31.5817,,,
2005-08-03,,,,15.115,12.8033,,,,,31.7073,,,
2005-08-04,,,,14.8957,11.4911,,,,,31.1033,,,
2005-08-05,,,,14.2653,11.0473,,,,,31.4625,,,
2005-08-08,,,,14.1071,10.9701,,,,,31.5218,,,
2005-08-09,,,,13.8511,10.779,,,,,31.6773,,,
2005-08-10,,,,14.0247,10.779,,,,,32.0483,,,
2005-08-11,,,,14.2138,10.7874,,,,,32.3656,,,
2005-08-12,,,,14.2138,10.6245,,,,,32.5985,,,
2005-08-15,,,,14.2798,10.7235,,,,,32.6585,,,
2005-08-16,,,,14.1402,10.1647,,,,,32.5685,,,
2005-08-17,,,,14.1139,10.4558,,,,,32.1557,,,
2005-08-18,,,,13.983,10.1412,,,,,32.3893,,,
2005-08-19,,,,14.0169,10.2346,,,,,32.4074,,,
2005-08-22,,,,14.0761,10.0716,,,,,32.4792,,,
2005-08-23,,,,14.0353,9.98764,,,,,32.4374,,,
2005-08-24,,,,14.0917,9.8031,,,,,32.3893,,,
2005-08-25,,,,14.1546,9.9038,,,,,32.2875,,,
2005-08-26,,,,13.7657,9.98021,,,,,32.0001,,,
2005-08-29,,,,13.8715,10.7375,,,,,32.4548,,,
2005-08-30,,,,13.8511,10.6245,,,,,32.413,,,
2005-08-31,,,,14.2953,10.8713,,,,,32.8258,,,
2005-09-01,,,,14.1139,10.8928,,,,,32.6048,,,
2005-09-02,,,,14.1256,11.169,,,,,32.6522,,,
2005-09-06,,,,14.5301,11.2085,,,,,32.9876,,,
2005-09-07,,,,14.3884,11.4458,,,,,33.5678,,,
2005-09-08,,,,14.1596,12.6723,,,,,33.0832,,,
2005-09-09,,,,14.0625,12.1505,,,,,33.4242,,,
2005-09-12,,,,14.1546,12.1664,,,,,33.0832,,,
2005-09-13,,,,13.9878,12.1429,,,,,32.6285,,,
2005-09-14,,,,13.9646,11.7133,,,,,32.5566,,,
2005-09-15,,,,13.9093,12.158,,,,,32.1201,,,
2005-09-16,,,,13.9151,11.7756,,,,,32.2101,,,
2005-09-19,,,,13.7347,11.2998,,,,,32.5804,,,
2005-09-20,,,,13.4766,10.9701,,,,,33.3879,,,
2005-09-21,,,,13.2448,10.8467,,,,,32.7122,,,
2005-09-22,,,,13.4146,11.0079,,,,,32.7958,,,
2005-09-23,,,,13.5096,12.2889,,,,,32.9276,,,
2005-09-26,,,,13.469,14.6288,,,,,32.7603,,,
2005-09-27,,,,13.3505,14.9208,,,,,32.4248,,,
2005-09-28,,,,13.1876,15.0668,,,,,32.3893,,,
2005-09-29,,,,13.5271,14.528,,,,,32.2819,,,
2005-09-30,,,,13.6251,14.415,,,,,31.9527,,,
2005-10-03,,,,13.8181,14.2596,,,,,31.5817,,,
2005-10-04,,,,13.6648,13.8536,,,,,31.7435,,,
2005-10-05,,,,13.2158,12.9879,,,,,31.7017,,,
2005-10-06,,,,13.4369,13.4796,,,,,31.3007,,,
2005-10-07,,,,13.2768,13.6462,,,,,31.2707,,,
2005-10-10,,,,13.049,13.4156,,,,,31.3662,,,
2005-10-11,,,,12.9413,12.774,,,,,30.5287,,,
2005-10-12,,,,12.6861,12.9248,,,,,29.8174,,,
2005-10-13,,,,12.8472,12.6884,,,,,29.7755,,,
2005-10-14,,,,13.1507,12.6422,,,,,29.6737,,,
2005-10-17,,,,12.9413,12.8955,,,,,29.4345,,,
2005-10-18,,,,12.6939,12.4641,,,,,29.3983,,,
2005-10-19,,,,13.0867,12.7806,,,,,29.4345,,,
2005-10-20,,,,12.7473,12.4198,,,,,29.3983,,,
2005-10-21,,,,13.0606,12.8324,,,,,29.65,,,
2005-10-24,,,,13.3807,12.8646,,,,,29.8174,,,
2005-10-25,,,,13.2934,12.2823,,,,,29.9066,,,
2005-10-26,,,,12.9121,12.8494,,,,,29.68,,,
2005-10-27,,,,12.6386,12.2823,,,,,29.7156,,,
2005-10-28,,,,13.1313,12.4114,,,,,30.0203,,,
2005-10-31,,,,13.2497,13.0029,,,,,30.505,,,
2005-11-01,,,,12.9441,13.2403,,,,,30.6905,,,
2005-11-02,,,,13.3505,13.7312,,,,,31.0015,,,
2005-11-03,,,,13.2934,13.3006,,,,,31.1152,,,
2005-11-04,,,,13.3865,13.0482,,,,,30.7323,,,
2005-11-07,,,,13.4078,13.4796,,,,,31.0733,,,
2005-11-08,,,,13.2817,13.3628,,,,,31.0496,,,
2005-11-09,,,,13.4766,13.4014,,,,,31.187,,,
2005-11-10,,,,13.7444,13.1641,,,,,30.1703,,,
2005-11-11,,,,13.8181,13.2657,,,,,30.1821,,,
2005-11-14,,,,13.4486,13.0952,,,,,29.7874,,,
2005-11-15,,,,13.3505,11.3376,,,,,29.7574,,,
2005-11-16,,,,13.2934,11.7604,,,,,29.6082,,,
2005-11-17,,,,13.5951,11.3527,,,,,29.9011,,,
2005-11-18,,,,13.6416,11.6758,,,,,29.961,,,
